Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Quant Multi Asset Fund(G),Sanjeev Sharma,HY-MULTI,5,3152.6,1.88,Open Ended,20-Mar-01,BSE 200 - TRI,137.09,141.32,108.08,-1.1,-3.17,2.02,25.68,23.94,20.59,27.77,17.14,0,10,279136,35.81,8.63,5.79,Financials,0.67,0.51,6.5,15.4,1.54,2.36,1.76,13.36,Hybrid : Multi Asset Allocation,1% on or before 15D Nil after 15D
Quant Overnight Fund-Reg(G),Sanjeev Sharma,DT-ON,2,169.1,0.22,Open Ended,05-Dec-22,CRISIL Liquid Overnight Index,11.49,11.49,10.75,0.57,1.67,3.32,6.87,6.93,25.2,31.66,13.55,0,9,115434,78.82,10.13,1.62,Energy,5.79,2.05,6.55,1.39,9.51,12.5,1.78,0.14,Debt : Overnight,Nil
Quant PSU Fund-Reg(G),Sandeep Tandon,EQ-THEM,5,849.9,2.32,Open Ended,20-Feb-24,NIFTY PSE - TRI,10.4,12.86,9.45,-5.35,-17.21,-11.31,6.84,7.26,12.5,6.31,5.74,433,16,179006,50.27,27.23,3.86,Energy,8.13,2.4,7.13,10.46,1.34,0.79,0.19,20.15,Equity : Thematic,1% on or before 15D Nil after 15D
Quant Quantamental Fund-Reg(G),Sandeep Tandon,EQ-THEM,1,2346,2,Open Ended,30-Apr-21,NIFTY 200 - TRI,22.57,25.74,19.49,-3.1,-12.63,-10.26,13.97,25.68,26.42,15.04,7.1,424,23,278194,83.18,1.9,11.26,Financials,6,4.24,7.44,6.1,0.6,0.89,1.09,19.22,Equity : Thematic,1% on or before 15D Nil after 15D
Quant Small Cap Fund(G),Ankit Pande,EQ-SML,5,27160.8,1.6,Open Ended,16-Oct-96,Nifty Smallcap 250 - TRI,263.49,284.29,214.59,-3.24,-7.56,-2.67,22.72,33.65,25.71,45.15,20.41,114,84,37161,23.84,4.36,62.86,Financials,3.17,0.34,7.41,14.19,0.98,1.38,0.98,19.56,Equity : Small Cap,1% on or before 1Y Nil after 1Y
Quant Teck Fund-Reg(G),Sandeep Tandon,EQ-TECH,4,442.1,2.4,Open Ended,11-Sep-23,NIFTY IT - TRI,13.68,14.1,10.88,0.55,-2.32,1.84,23.79,7.35,5.96,20.04,5.48,468,15,40834,27.48,7.94,58.07,Technology,15.18,2.61,6.92,15.22,1.05,1.74,0.91,18.91,Equity : Sectoral - Technology,1% on or before 15D Nil after 15D
Quant Value Fund-Reg(G),Sandeep Tandon,EQ-VAL,1,1981.2,1.99,Open Ended,30-Nov-21,NIFTY 500 - TRI,20.11,22.21,16.17,-2.57,-9.07,-5.15,23.95,30.28,25.56,27.41,12.52,326,28,96208,51.85,2.83,35.6,Financials,7.92,3.8,6.92,15.04,0.98,1.42,1.14,21.3,Equity : Value / Contra,1% on or before 15D Nil after 15D
Quantum Dynamic Bond Fund-Reg(G),Pankaj Pathak,DT-DYN,1,110.8,0.96,Open Ended,19-May-15,CRISIL Dynamic Bond Index,20.51,20.56,18.77,0.41,0.34,3.89,9.1,8.1,6.86,6.64,6.46,0,69,131290,14.89,3.62,91.94,Financials,25.31,9.95,7,1.29,2.13,3.69,1.2,2.28,Debt : Dynamic Bond,Nil
Quantum ELSS Tax Saver Fund-Reg(G),George Thomas,EQ-ELSS,2,214.8,2,Open Ended,23-Dec-08,BSE 500 - TRI,124.11,130.04,100.05,-1.52,-5.1,1.25,21.28,24.4,18.57,18.37,12.35,17.34,30,217961,61.8,8.53,13.23,Financials,0.12,12.03,7.05,12.27,1.33,2.1,0.81,12.29,Equity : Tax Saving (ELSS),Nil
Quantum Equity FoF-Reg(G),Chirag Mehta,FOF-DOM,2,128.1,0.75,Open Ended,20-Jul-09,BSE 200 - TRI,81.85,86.67,66.38,-0.66,-5.98,0.94,19.8,22.86,14.52,17.12,12.9,8.43,69,143041,83.5,30.97,29.5,Healthcare,15.45,3.56,7.09,8.59,1.11,1.63,2.28,13.7,FoFs : Domestic,Nil upto 10% of Units and 1% For remaining Units on or before 365D Nil after 365D
Quantum ESG Best In Class Strategy Fund-Reg(G),Chirag Mehta,EQ-THEM,1,90.2,2.1,Open Ended,12-Jul-19,NIFTY100 ESG - TRI,24.28,25.91,20.16,-0.62,-7.08,3.2,15.64,20.87,12.1,17.83,11.61,17.43,54,121074,50.64,26.97,15.86,Financials,0.69,1.73,6.88,7.64,0.93,1.49,0.77,12.39,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 365D Nil after 365D
Quantum Ethical Fund-Reg(G),Chirag Mehta,EQ-THEM,5,90.5,2.35,Open Ended,20-Dec-24,Nifty500 Shariah - TRI,10.11,10.11,9.99,0.59,3.06,1.83,14.91,7.33,15.83,14.49,8.13,0,31,158693,19.73,20.14,14.04,Financials,22.61,1.8,7.04,0.91,1.05,1.6,1.38,5.55,Equity : Thematic,Nil upto 10% of units and 1% for remaining units on or before 365D Nil after 365D
Quantum Gold Fund ETF,Chirag Mehta,GOLD-ETF,4,239.7,0.78,Open Ended,22-Feb-08,Gold-India,64.17,66.66,51.81,-0.24,1.29,6.32,19.73,16.54,15.62,13.23,9.92,3.17,49,98803,28.59,8,13.98,Financials,5.09,0.04,7.48,14.24,1.16,1.8,0.25,12.9,Gold : ETFs,Nil
Quantum Gold Saving Fund-Reg(G),Chirag Mehta,GOLD-MF,3,143.1,0.21,Open Ended,19-May-11,Gold-India,29.52,30.59,23.81,0.08,1.09,6.2,19.88,16.74,15.71,13.21,9.66,9.27,1,83531,49.85,17.72,18.53,FMCG,4.26,3.35,7.85,13.91,1.17,1.94,0.37,12.76,Gold : MFs,Nil
Quantum Liquid Fund-Reg(G),Pankaj Pathak,DT-LIQ,2,504,0.25,Open Ended,07-Apr-06,CRISIL Liquid Debt Index,33.91,33.91,31.69,0.57,1.67,3.39,7.01,6.88,6.12,4.99,5.81,0,59,100456,81.42,8.01,19.89,Financials,0.1,0.08,6.85,0.53,9.57,3.94,2.17,0.06,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Quantum Long Term Equity Value Fund-Reg(G),George Thomas,EQ-VAL,2,1189.4,2,Open Ended,13-Mar-06,BSE 500 - TRI,125.05,131.05,100.5,-1.56,-5.09,1.32,21.63,24.66,18.51,18.31,12.39,11.72,30,225318,63.46,8.59,12.63,Financials,0.07,5.27,7,12.57,1.35,2.13,0.82,12.41,Equity : Value / Contra,Nil upto 10% of units on or before 730D For remaining units 2% on or before 365D and 1% after 365D but before 730D Nil after 730D
Quantum Multi Asset Allocation Fund-Reg(G),Chirag Mehta,HY-MULTI,1,29.6,1.97,Open Ended,07-Mar-24,CRISIL Short Term Bond Index,10.86,11.16,9.88,-0.65,-2.97,1.6,18.11,7.4,35.56,6.88,10.01,326,38,283772,32.67,1.95,3.12,Financials,35.07,4.84,7.85,1.11,0.22,1.66,0.95,18.6,Hybrid : Multi Asset Allocation,1% on or before 90D Nil after 90D
Quantum Multi Asset FOFs-Reg(G),Chirag Mehta,FOF-DOM,2,59.9,0.47,Open Ended,11-Jul-12,NIFTY 50 - TRI,31.78,32.35,28,-0.25,-1.96,2.7,11.94,12.96,10.8,10.51,8.94,28.52,1,155296,19.57,13.65,5.54,FMCG,0.29,3.66,6.66,5.47,1.49,2.54,0.68,4.99,FoFs : Domestic,1% on or before 90D Nil after 90D
Quantum Nifty 50 ETF FoF-Reg(G),Hitendra Parekh,FOF-DOM,4,24,0.18,Open Ended,05-Aug-22,NIFTY 50 - TRI,14.12,15.29,12.28,-1.7,-7.88,-1.32,10.18,16.12,15.38,12.44,11.25,84.83,68,555837,99.31,64.92,21.39,Energy,1.36,8.27,7.59,4.31,0.53,0.87,0.72,12.19,FoFs : Domestic,Nil
Quantum Small Cap Fund-Reg(G),Chirag Mehta,EQ-SML,3,99.4,2.1,Open Ended,03-Nov-23,BSE 250 Small Cap - TRI,12.28,12.79,10.07,-1.05,-2.7,3.21,15.92,32.71,10.24,5.68,10.12,11.94,49,17137,11.43,4.1,67.59,Financials,14.75,7.58,6.86,8.85,0.94,1.44,0.63,12.81,Equity : Small Cap,Nil upto 10% of units and 1% for remaining units on or before 365D Nil after 365D
Samco Active Momentum Fund-Reg(G),Paras Matalia,EQ-THEM,3,874,2.24,Open Ended,05-Jul-23,NIFTY 500 - TRI,15.77,15.94,12.14,4.64,3.12,8.44,26.73,11.33,5.66,6.54,14.47,547,58,54003,31.38,21.41,40,Healthcare,13.43,11.61,7.33,18.02,1.25,1.77,0.89,18.03,Equity : Thematic,1% on or before 365D Nil after 365D
Samco Arbitrage Fund-Reg(G),Umeshkumar Mehta,HY-ARB,2,16.9,1.14,Open Ended,29-Nov-24,Nifty 50 Arbitrage - TRI,10.05,10.05,10,0.5,2.5,23.68,9.31,23.09,15.51,4.8,14.48,28,8,355917,56.43,9.14,82.15,Energy,0.53,3.28,7.22,2.65,0.99,21.71,0.07,17.08,Hybrid : Arbitrage,0.25% on or before 7D Nil after 7D
Samco Dynamic Asset Allocation Fund-Reg(G),Umeshkumar Mehta,HY-DYN,3,604.7,2.34,Open Ended,28-Dec-23,NIFTY 50 Hybrid Composite Debt 50:50 Index,11.02,11.64,9.92,2.14,-5.19,0.09,9.7,39.37,12.13,24.38,9.52,0,62,79259,47.17,19.49,19.44,Automobile and Ancillaries,1.25,1.12,6.24,-1.66,0.46,0.61,2.56,13.88,Hybrid : Dynamic Asset Allocation,Nil upto 25% of units and 1% for remaining units on or before 12M Nil after 12M
Samco ELSS Tax Saver Fund-Reg(G),Nirali Bhansali,EQ-ELSS,4,121.8,2.38,Open Ended,22-Dec-22,NIFTY 500 - TRI,14.78,15.43,12.69,0.89,-2,-0.81,9.55,21.36,8.73,12.49,8.24,177,36,34745,3.64,44.72,51.38,Financials,0.39,6.89,6.91,2.44,0.39,0.58,0.84,17.06,Equity : Tax Saving (ELSS),Nil
Samco Flexi Cap Fund-Reg(G),Nirali Bhansali,EQ-FLEX,4,601.7,2.38,Open Ended,04-Feb-22,NIFTY 500 - TRI,12.43,12.73,11.23,2.33,-2,-0.57,5.41,15.34,8.33,5.27,7.75,206,26,71148,30.86,39.72,29.51,Technology,6.75,2.51,7.33,-1.84,0.15,0.22,0.88,17.55,Equity : Flexi Cap,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Samco Multi Asset Allocation Fund-Reg(G),Nirali Bhansali,HY-MULTI,3,42,2.24,Open Ended,24-Dec-24,NIFTY 50 - TRI,10.1,10.1,10,0.55,-1.01,-0.66,40.75,34.67,12.39,16.22,14.12,0,30,515766,54.23,37.65,6.56,Financials,0.37,0.35,6.19,3.18,0.46,1.31,0.81,1.6,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Samco Multi Cap Fund-Reg(G),Umeshkumar Mehta,EQ-MLC,2,354.1,2.38,Open Ended,30-Oct-24,Nifty500 Multicap 50:25:25 - TRI,9.79,10.1,9.59,-0.72,-7.12,4.64,11.76,7.09,5.5,23.32,6.39,269,100,37747,26.5,15.31,44.13,Automobile and Ancillaries,3.16,0.12,7.82,0.73,0.98,3.05,0.41,3.71,Equity : Multi Cap,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
Samco Overnight Fund-Reg(G),Dhawal Ghanshyam Dhanani,DT-ON,5,61.1,0.33,Open Ended,12-Oct-22,CRISIL Liquid Overnight Index,1146.53,1146.53,1078.68,0.52,1.54,3.07,6.3,6.34,13.97,22.86,7.25,0,54,119680,95.95,15.41,3.5,Energy,2.65,6.77,5.75,0.08,4.18,0.51,0.03,0.02,Debt : Overnight,Nil
Samco Special Opportunities Fund-Reg(G),Paras Matalia,EQ-THEM,5,193.2,2.39,Open Ended,06-Jun-24,NIFTY 500 - TRI,9.71,10.62,9.16,0.94,-5.77,-6.5,9.04,7.61,16.23,5.3,18.49,53,31,17275,2.1,16.9,58.16,Financials,0.12,0.01,7.45,2.24,10.99,0.67,1.21,11.61,Equity : Thematic,1% on or before 365D Nil after 365D
SBI Arbitrage Opportunities Fund-Reg(G),Neeraj Kumar,HY-ARB,1,31422.1,0.95,Open Ended,03-Nov-06,Nifty 50 Arbitrage,32.69,32.69,30.42,0.66,1.84,3.46,7.51,7.49,6.52,5.38,5.82,1384,194,241392,55.18,14.85,2.14,Financials,0.3,0.5,7.5,3.45,3.22,7.45,-0.07,1.01,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M
SBI Automotive Opportunities Fund-Reg(G),Tanmaya Desai,EQ-AUTO,1,5934.6,1.83,Open Ended,05-Jun-24,NIFTY AUTO - TRI,9.72,11.35,9.27,-1.82,-15.18,-9.36,7.3,7.46,16.07,19.37,15.79,45,28,97855,59.98,15.68,22.36,Automobile and Ancillaries,0.2,2.63,7.24,0.3,0.97,1.97,0.02,0.33,Equity : Sectoral - Auto,1% on or before 1Y Nil after 1Y
SBI Balanced Advantage Fund-Reg(G),Dinesh Balachandran,HY-DYN,5,33186.8,1.57,Open Ended,31-Aug-21,NIFTY 50 Hybrid Composite Debt 50:50 Index,14.68,15.05,12.94,-0.29,-2.2,1.57,13.33,16.88,12.82,5.96,8.13,489,95,258819,53.24,8.73,3.81,Energy,8.16,4.88,7.43,5.82,1.47,2.15,1.07,6.07,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
SBI Banking & Financial Services Fund-Reg(G),Milind Agrawal,EQ-FIN,3,6548.4,1.81,Open Ended,26-Feb-15,Nifty Financial Services - TRI,38.69,40.04,31.49,-1.34,-2.21,2.23,19.75,19.67,17.79,13.83,12.26,237,26,222957,55.13,17.32,15.02,Financials,0.01,2.72,7.15,10.66,0.95,1.37,1.04,16.59,Equity : Sectoral - Financial Services,0.50% on or before 30D Nil after 30D
SBI Banking and PSU Fund-Reg(G),Rajeev Radhakrishnan,DT-B&PSU,3,3810.2,0.81,Open Ended,09-Oct-09,NIFTY Banking and PSU Debt Index,2980.24,2980.42,2767.64,0.5,1.34,3.88,7.63,7.09,5.66,5.94,7.03,0,59,109253,36.59,14.37,83.42,Technology,7.97,4.27,7.37,2.29,4.25,8.21,0.4,0.81,Debt : Banking & PSU,Nil
SBI BlueChip Fund-Reg(G),Saurabh Pant,EQ-LC,4,50502.3,1.5,Open Ended,20-Jan-06,BSE 100 - TRI,89.68,96.03,76.1,-1.46,-7.12,-0.2,13.05,18.44,13.68,16.38,12.81,44,45,346648,79.17,14.11,2.08,Financials,0.39,0.28,6.6,4.66,0.73,1.11,0.84,12.17,Equity : Large Cap,1% on or before 1Y Nil after 1Y
SBI BSE 100 ETF,Raviprakash Sharma,EQ-ETF,5,9.3,0.14,Open Ended,20-Mar-15,BSE 100 - TRI,279.36,301.56,237.11,-1.49,-7.81,-1.05,13.48,18.96,14.58,16.97,6.31,36,101,415145,92.33,7.64,3.85,Financials,0.01,2.42,7.17,5.12,0.68,1.03,1,14.14,Equity : ETFs,Nil upto 10% of units and 1% for above the limits on or before 1Y Nil after 1Y
SBI BSE Sensex ETF,Raviprakash Sharma,EQ-ETF,5,120613.6,0.04,Open Ended,15-Mar-13,BSE SENSEX - TRI,874.42,937.44,761.4,-1.64,-6.69,-0.81,9.84,15.67,12.44,15.23,12.46,11,30,684545,99.26,0.72,0.5,Financials,10.72,0.14,6.55,1.76,0.46,0.7,0.99,13.76,Equity : ETFs,Nil
SBI BSE Sensex Index Fund-Reg(G),Raviprakash Sharma,EQ-INDX,2,241.8,0.44,Open Ended,26-May-23,BSE SENSEX - TRI,12.95,13.9,11.32,-1.68,-6.8,-1.03,9.35,16.88,9.7,5.6,6.01,5,30,684540,99.2,0.72,2.64,Financials,5.66,0.43,7.59,0.93,0.42,0.65,1,13.82,Equity : Index Funds,0.20% on or before 15D Nil after 15D
SBI BSE Sensex Next 50 ETF,Raviprakash Sharma,EQ-ETF,2,19.8,0.12,Open Ended,25-Sep-18,BSE Sensex Next 50 - TRI,885.03,951.51,685.72,-0.64,-7.84,-0.66,26.47,31.2,21.91,22.2,11.29,31,51,122565,66.01,33.87,47.89,Financials,2.38,2.4,6.66,16.71,1.21,1.86,0.99,17.51,Equity : ETFs,Nil
SBI Conservative Hybrid Fund-Reg(G),Saurabh Pant,HY-DT(CO),4,10045.8,1.12,Open Ended,23-Mar-01,NIFTY 50 Hybrid Composite Debt 15:85 Index,69.88,70.39,62.72,0.03,-0.93,2.53,11.03,11.66,9.28,11.01,9.15,0,40,61343,7.55,2.75,12.36,Financials,7.04,4.1,7.83,4.28,1.85,2.77,0.84,3.64,Hybrid : Debt Oriented (Conservative),Nil for 10% of investment and 1% for remaining Investment on or before 1Y Nil after 1Y
SBI Consumption Opp Fund-Reg(G),Ashit Desai,EQ-CONS,3,3074,1.97,Open Ended,01-Jan-13,Nifty India Consumption - TRI,334.54,355.77,257.71,0.58,-6.73,6.5,23.99,27.78,22.93,23.35,16.45,29,49,48176,31.23,24.62,41.45,FMCG,0.65,0.02,7.61,15.37,1.5,2.47,0.58,12.16,Equity : Thematic - Consumption,0.10% on or before 30D Nil after 30D
SBI Contra Fund-Reg(G),Dinesh Balachandran,EQ-VAL,5,41906.9,1.5,Open Ended,05-Jul-99,BSE 500 - TRI,377.09,406.2,314.69,-1.16,-6.55,-0.5,18.75,28.22,22.88,29.37,15.97,167,88,140583,48.55,15.82,13.54,Financials,0.15,4.86,7.33,10.21,1.04,1.48,0.87,13.93,Equity : Value / Contra,1% on or before 1Y Nil after 1Y
SBI Corp Bond Fund-Reg(G),Rajeev Radhakrishnan,DT-CORP,3,20915.6,0.8,Open Ended,01-Feb-19,NIFTY Corporate Bond Index,14.81,14.81,13.73,0.48,1.45,4.06,7.85,7.23,5.91,6.18,11.54,0,86,91447,35.81,65.43,17.91,Financials,4.97,3.7,7.53,2.62,4.99,9.22,0.36,0.74,Debt : Corporate Bond,Nil
SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund-Reg(G),Ranjana Gupta,DT-MD,1,9366,0.37,Open Ended,19-Jan-22,Nifty CPSE Bond Plus SDL Sep 2026 50:50 Index,11.75,11.75,10.91,0.54,1.59,3.78,7.71,7.24,19.25,4.82,11.76,0,103,217964,55.89,3.18,47.89,Financials,1.57,1.42,7.25,3.02,6.78,15.85,0.17,0.52,Debt : Medium Duration,0.15% on or before 30D Nil after 30D
SBI Credit Risk Fund-Reg(G),Lokesh Mallya,DT-CR,4,2289.2,1.55,Open Ended,14-Jul-04,NIFTY Credit Risk Bond Index,43.66,43.66,40.41,0.58,1.78,3.84,8.04,8.16,6.85,7.02,7.48,0,1,242567,48.73,13.57,11.56,Automobile and Ancillaries,3.15,2.25,8.67,3.35,4.18,8.44,0.18,0.92,Debt : Credit Risk,Nil for 8% of investment and 3% for remaining investment on or before 12M Nil for 8% of investment and 1.5% for remaining investment after 12M but before 24M Nil for 8% of investment and 0.75% for remaining investment after 24M but before 36M Nil after 36M
SBI CRISIL IBX Gilt Index - Apr 2029 Fund-Reg(G),Ranjana Gupta,DT-M&LD,5,2278.8,0.45,Open Ended,04-Oct-22,CRISIL IBX Gilt Index - April 2029,11.89,11.89,10.98,0.4,1.24,4.24,8.24,7.99,24.42,9.86,6.79,0,69,142612,83.76,66.55,6.78,Financials,4.37,3.68,6.82,2.24,3.14,5.61,0.6,1.28,Debt : Medium to Long Duration,0.15% on or before 30D Nil after 30D
SBI CRISIL IBX Gilt Index - June 2036 Fund-Reg(G),Ranjana Gupta,DT-LD,1,2432.5,0.54,Open Ended,04-Oct-22,CRISIL IBX Gilt Index - June 2036,12.15,12.19,11,0.45,0.86,4.53,10.31,8.99,5.46,5.72,14.37,0,73,220428,57.85,16.45,35.6,Financials,11.33,7.61,6.99,1.92,2.26,3.8,1.32,2.57,Debt : Long Duration,0.15% on or before 30D Nil after 30D
SBI CRISIL IBX SDL Index - Sep 2027 Fund-Reg(G),Ranjana Gupta,DT-M&LD,2,1103.8,0.4,Open Ended,04-Oct-22,CRISIL IBX SDL Index - September 2027,11.77,11.78,10.87,0.56,1.46,3.91,8.37,7.6,13.06,7.71,13.08,0,30,148596,85.1,3.63,21.86,Technology,2.65,2.32,7.07,3.12,4.32,9.19,0.31,0.93,Debt : Medium to Long Duration,0.15% on or before 30D Nil after 30D
SBI Dividend Yield Fund-Reg(G),Rohit Shimpi,EQ-DIV,3,9555.9,1.78,Open Ended,14-Mar-23,NIFTY 500 - TRI,15.06,16.28,12.64,-3.04,-8.41,-2.71,14.89,15.32,9.26,5.15,14.45,6,42,244924,65.3,16.45,8.29,Financials,1.73,2.8,6.92,6.53,0.81,1.2,0.88,13.53,Equity : Thematic - Dividend Yield,Nil upto 10% of units and 1% for remaining units on or before 1Y Nil after 1Y
SBI Dynamic Bond Fund-Reg(G),Rajeev Radhakrishnan,DT-DYN,3,3309.3,1.45,Open Ended,13-Jan-04,CRISIL Dynamic Bond Index,34.25,34.35,31.49,0.33,0.17,3.74,8.62,7.77,6.56,6.33,7.44,0,24,555828,12.41,18.05,6.77,Energy,20.67,8.71,7.15,0.81,1.95,3.3,1.18,2.19,Debt : Dynamic Bond,Nil for 10% of investment and 0.25% for remaining Investment on or before 1M Nil after 1M
SBI Energy Opportunities Fund-Reg(G),Raj Gandhi,EQ-POWER,1,10486,1.74,Open Ended,26-Feb-24,NIFTY ENERGY - TRI,10.45,12.05,9.66,0.24,-13.08,-7.67,16.26,21.58,6.4,18.27,6.01,64,28,160299,58.6,19.31,18.41,Energy,9.85,0.01,7.09,15.6,5.41,2,1.31,1.36,Equity : Sectoral - Energy / Power,1% on or before 1Y Nil after 1Y
SBI Equity Hybrid Fund-Reg(G),R. Srinivasan,HY-EQ,4,72428.4,1.4,Open Ended,06-Jan-96,CRISIL Hybrid 35+65 - Aggressive Index,279.63,291.3,240.58,-0.43,-3.87,1.16,14.62,15.8,11.19,13.78,11.76,56,39,279510,50.99,18.56,3.43,Financials,7.87,4.58,7.55,5.04,1.02,1.53,1.72,9.82,Hybrid : Equity Oriented,Nil for 10% of investments and 1% for remaining investment on or before 12M Nil after 12M
SBI Equity Minimum Variance Fund-Reg(G),Raviprakash Sharma,EQ-THEM,2,216.7,0.74,Open Ended,19-Mar-19,NIFTY 50 - TRI,23.53,26.69,21.17,-0.92,-12.48,-2.12,7.99,18.51,14.29,17.93,6.34,40,50,274603,93.64,6.34,6.77,FMCG,3.78,3.81,7.07,1.08,0.39,0.66,0.71,11.88,Equity : Thematic,0.50% on or before 15D Nil after 15D
SBI Equity Savings Fund-Reg(G),Neeraj Kumar,HY-EQ,3,5982.4,1.42,Open Ended,27-May-15,NIFTY 50 Equity Savings Index,23.27,23.5,20.81,0.28,0.16,3.37,11.98,14.75,10.3,11.2,6.92,0,115,128185,38.57,8.09,18.92,Financials,2.61,2.05,7.67,5.95,1.54,2.32,0.55,4.9,Hybrid : Equity Oriented,0.10% on or before 15D Nil after 15D
SBI ESG Exclusionary Strategy Fund-Reg(G),Rohit Shimpi,EQ-THEM,2,5806.1,1.93,Open Ended,01-Jan-91,NIFTY100 ESG - TRI,230.49,250.49,199.25,-2.31,-6.77,-2.07,12.88,18.43,11.09,15.2,12.3,31,40,304534,77.25,13.48,5.54,Financials,1.97,3.64,7.31,4.33,0.67,1.01,0.89,13.04,Equity : Thematic,1% on or before 1Y Nil after 1Y
SBI Flexicap Fund-Reg(G),Dinesh Balachandran,EQ-FLEX,3,22206.1,1.66,Open Ended,16-Sep-05,BSE 500 - TRI,107.84,115.3,93.26,0.07,-5.68,0.42,14.8,18.73,12.41,16.08,13.35,82,104,130718,48.41,20.08,21.2,Financials,0.3,9.95,7.33,6.58,0.83,1.22,0.84,12.85,Equity : Flexi Cap,0.10% on or before 30D Nil after 30D
SBI Floating Rate Debt Fund-Reg(G),Ardhendu Bhattacharya,DT-FL,2,1189.5,0.46,Open Ended,27-Oct-20,Nifty Short Duration Debt Index,12.76,12.77,11.81,0.42,1.56,3.88,8.16,7.83,6.66,6.33,7.36,0,24,70953,54.14,1.24,12.9,Healthcare,5.66,1.57,7.57,3.58,6.85,15.59,0.14,0.58,Debt : Floater,0.10% on or before 3D Nil after 3D
SBI FMP-1-3668D-Reg(G),Ranjana Gupta,DT-FMP,5,46.5,0,Closed Ended,28-Mar-19,Crisil Long Term Debt Index,15.63,15.66,14.35,0.3,1.31,4.42,9.03,8.24,6.58,6.98,18.04,19.3,30,212748,88.29,3.09,6.77,Technology,3.8,3.14,7.75,1.11,1.89,3.08,0.29,0.91,Debt : FTP/FMP,1% on or before 1Y Nil after 1Y
SBI FMP-34-3682D-Reg(G),Ranjana Gupta,DT-FMP,4,26.6,1.89,Closed Ended,05-May-20,Crisil Long Term Debt Index,13.18,13.19,12.05,0.59,1.3,4.41,9.18,8.17,6.38,19.1,7.38,132,37,684567,83.83,12.34,67.59,Automobile and Ancillaries,7.9,3.22,7.05,0.96,1.7,2.99,0.41,1.09,Debt : FTP/FMP,Nil
SBI FMP-41-1498D-Reg(G),Ranjana Gupta,DT-FMP,1,891.7,2.05,Closed Ended,25-Mar-21,CRISIL Medium Duration Debt Index,12.31,12.31,11.47,0.53,1.6,3.48,7.35,7.18,5.42,5.47,16.25,0,51,121679,98.33,1.9,6.56,Financials,0.28,7.67,7.32,0.71,5.15,5.54,0.02,0.14,Debt : FTP/FMP,1% on or before 1Y Nil after 1Y
SBI FMP-42-1857D-Reg(G),Ranjana Gupta,DT-FMP,2,462.6,1.4,Closed Ended,30-Mar-21,CRISIL Medium to Long Term Debt Index,12.41,12.41,11.52,0.53,1.58,3.78,7.75,7.4,5.64,15.51,10.11,87,91,119921,61.46,19.22,5.51,Financials,1.99,2.65,6.79,0.78,2.7,4.78,0.1,0.37,Debt : FTP/FMP,1% on or before 3M Nil after 3M
SBI FMP-43-1616D-Reg(G),Ranjana Gupta,DT-FMP,1,115.4,1.57,Closed Ended,29-Apr-21,CRISIL Medium Duration Debt Index,12.31,12.31,11.45,0.5,1.5,3.59,7.57,7.3,5.65,5.84,6.73,20,99,143043,38.41,26.27,22.57,Financials,22.1,0.76,7.09,0.76,3.35,5.33,0.05,0.26,Debt : FTP/FMP,0.50% on or before 90D Nil after 90D
SBI FMP-44-1855D-Reg(G),Ranjana Gupta,DT-FMP,5,372.5,0.4,Closed Ended,02-Jun-21,CRISIL Medium to Long Term Debt Index,12.25,12.25,11.34,0.53,1.58,3.88,7.93,7.47,5.72,24.75,13.96,32.19,36,429485,36.07,16.98,91.81,Financials,3.07,1.32,6.92,0.83,2.51,4.52,0.12,0.43,Debt : FTP/FMP,Nil upto 10% of units and for remaining units 1% on or before 15D and Nil after 15D
SBI FMP-45-1840D-Reg(G),Ranjana Gupta,DT-FMP,4,218.6,0.55,Closed Ended,17-Jun-21,CRISIL Medium to Long Term Debt Index,12.24,12.24,11.34,0.52,1.58,3.86,7.93,7.49,5.77,13.29,7.38,0,67,280659,31.67,75.05,0.15,Healthcare,4.74,2.64,4.4,0.86,2.62,4.7,0.11,0.42,Debt : FTP/FMP,1% on or before 15D Nil after 15D
